,num_trades,win_rate,profit_factor,total_pnl
USDCHF,823.0,0.39125151883353587,1.0734311286539402,12476.937293484807
EURUSD,786.0,0.4122137404580153,1.156115812857558,20425.760774865746
GBPUSD,911.0,0.3699231613611416,0.9672945146891383,-5951.948609083891
USDJPY,824.0,0.42475728155339804,1.1425564174250442,19906.214983269572
XAUUSD,815.0,0.4331288343558282,1.1371479587464999,98229.15992856026
