timestamp,asset,pnl,net_pnl,entry_price,exit_price,size,rr_ratio
2026-01-04 06:05:00,EURUSD,-44.83919,-44.938713,1.1721101,1.1718988,2488.0115,2.3757885
2026-01-04 06:05:00,USDCHF,-90.270035,-90.36718,0.79171,0.7920043,2428.659,2.7860315
2026-01-04 06:10:00,EURUSD,-45.232124,-45.33191,1.17224,1.1720275,2494.6067,2.2035122
2026-01-04 06:15:00,EURUSD,-46.70441,-46.804104,1.17241,1.1721903,2492.3093,2.117648
2026-01-04 06:20:00,EURUSD,-48.075592,-48.1752,1.17262,1.1723937,2490.2725,2.0857944
2026-01-04 06:30:00,EURUSD,-50.091896,-50.19144,1.17262,1.172384,2488.5679,2.0660021
2026-01-04 07:10:00,EURUSD,118.67016,118.571335,1.17241,1.1729732,2470.592,2.1079206
2026-01-04 07:10:00,USDJPY,279.87772,279.77942,156.5479,156.36958,2457.1384,2.0487783
2026-01-04 07:15:00,EURUSD,-60.700268,-60.79999,1.17363,1.1733443,2493.1228,2.4941185
2026-01-04 07:15:00,GBPUSD,202.44395,202.34673,1.35419,1.3553178,2430.7332,2.857279
2026-01-04 07:20:00,EURUSD,-66.169235,-66.26859,1.17383,1.1735173,2484.0078,2.0380151
2026-01-04 07:30:00,USDCHF,251.05272,250.95563,0.79161,0.7907912,2427.1924,2.6171975
2026-01-04 07:55:00,USDJPY,-95.126854,-95.22567,156.40889,156.34866,2470.4575,2.0005918
2026-01-04 08:25:00,USDJPY,-77.85477,-77.95438,156.3289,156.37778,2490.276,2.0405824
2026-01-04 08:50:00,USDCHF,-93.566216,-93.66345,0.79102,0.79132444,2430.9473,2.4553378
2026-01-04 09:10:00,USDJPY,-74.2545,-74.35335,156.3989,156.3519,2471.0737,2.1818058
2026-01-04 09:25:00,USDJPY,-75.04904,-75.147675,156.42189,156.37428,2465.8577,2.1773438
2026-01-04 10:20:00,GBPUSD,-87.34157,-87.43866,1.35531,1.3548223,2427.2808,2.2784815
2026-01-04 10:25:00,EURUSD,-66.28308,-66.380165,1.17332,1.1729996,2427.0562,2.3905213
2026-01-04 11:15:00,GBPUSD,-77.563324,-77.660416,1.35568,1.3552468,2427.2727,2.106718
2026-01-04 11:15:00,USDCHF,-75.56447,-75.66228,0.79118,0.7914245,2445.2158,2.1719983
2026-01-04 11:20:00,USDCHF,-74.565796,-74.66383,0.79113,0.7913707,2450.9873,2.1720862
2026-01-04 11:30:00,EURUSD,157.97318,157.87602,1.17327,1.174033,2428.9768,2.4449146
2026-01-04 11:35:00,GBPUSD,153.87195,153.7748,1.35586,1.356719,2428.678,2.0937448
2026-01-04 11:35:00,USDJPY,225.0573,224.95944,156.3849,156.24104,2446.5173,2.0140865
2026-01-04 12:25:00,USDCHF,-73.23693,-73.33523,0.79122,0.7914558,2457.4858,2.1307557
2026-01-04 12:30:00,USDJPY,-118.69868,-118.79709,156.3009,156.37631,2460.28,2.0951684
2026-01-04 12:45:00,USDCHF,-103.47902,-103.576546,0.7911,0.7907643,2438.1692,2.2504838
2026-01-04 12:50:00,USDCHF,-134.74812,-134.8453,0.79168004,0.79124093,2429.4146,2.040214
2026-01-04 12:55:00,USDCHF,-130.79854,-130.89578,0.79187,0.79144394,2431.04,2.249454
2026-01-04 13:35:00,USDJPY,-117.91475,-118.01322,156.3239,156.24902,2461.8262,2.0407302
2026-01-04 13:40:00,GBPUSD,-115.132805,-115.229904,1.3552799,1.3546371,2427.5496,2.265197
2026-01-04 15:35:00,USDCHF,302.13547,302.03815,0.79198,0.7929634,2433.3496,2.338792
2026-01-05 00:30:00,USDJPY,130.19333,130.09625,156.6909,156.60684,2426.8318,2.011821
2026-01-05 00:45:00,USDCHF,-88.51371,-88.61084,0.79551005,0.7952201,2428.2493,2.430085
2026-01-05 01:05:00,GBPUSD,-84.32792,-84.425,1.35012,1.350589,2427.107,2.0108974
2026-01-05 02:30:00,USDJPY,101.12005,101.02154,156.6769,156.61256,2462.7568,2.0393922
2026-01-05 02:35:00,EURUSD,171.2945,171.19742,1.16926,1.1684347,2426.89,2.1615365
2026-01-05 03:20:00,USDCHF,-91.65924,-91.75769,0.79532003,0.79502386,2461.3257,2.3746986
2026-01-05 03:30:00,USDJPY,-78.67693,-78.77407,156.6009,156.65164,2428.4546,2.0058181
2026-01-05 04:30:00,USDJPY,-62.410374,-62.507572,156.66289,156.62265,2429.924,2.190793
2026-01-05 04:45:00,USDJPY,-110.78191,-110.87899,156.77089,156.69933,2426.8413,2.1543145
2026-01-05 06:05:00,GBPUSD,-82.8958,-82.992874,1.35035,1.3508112,2427.0015,2.2517643
2026-01-05 07:25:00,USDJPY,-133.25694,-133.35515,156.7349,156.64983,2455.2212,2.154157
2026-01-05 07:30:00,USDJPY,-71.90467,-72.0044,156.6139,156.65907,2493.3064,2.0058136
2026-01-05 07:45:00,USDJPY,-70.29309,-70.3928,156.6009,156.64507,2492.8052,2.055543
2026-01-05 08:30:00,EURUSD,-68.65172,-68.7488,1.16993,1.1702609,2427.067,2.0372236
2026-01-05 08:50:00,GBPUSD,116.21487,116.11628,1.35156,1.3509227,2464.6655,2.174119
2026-01-05 09:30:00,USDJPY,150.13,150.03021,156.6059,156.51166,2494.8718,2.2874153
2026-01-05 11:50:00,USDCHF,197.43571,197.33864,0.79463005,0.7952765,2426.839,2.0437787
2026-01-07 23:00:00,EURUSD,-74.61592,-74.71455,1.16916,1.1688062,2465.6501,2.0974846
2026-01-07 23:00:00,USDCHF,-109.20694,-109.30582,0.7968,0.796448,2471.8723,2.0494764
2026-01-07 23:25:00,EURUSD,-76.120895,-76.2195,1.16897,1.168609,2465.1384,2.326555
2026-01-07 23:30:00,XAUUSD,-462.97986,-463.0798,4457.187,4448.929,2498.9521,2.0168278
2026-01-08 00:30:00,USDCHF,236.49591,236.39693,0.79679,0.7975515,2474.5288,2.4023802
2026-01-08 00:45:00,EURUSD,185.62712,185.52898,1.16884,1.1679558,2453.5764,2.2569592
