Timestamp	Container ID	Stream	Log Message
2026-02-16T01:58:30.159558174Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application startup complete.
2026-02-16T01:58:30.160019353Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T01:58:30.160255858Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Failure to initialize user app
2026-02-16T01:58:30.160269428Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Error: No module named 'main'
2026-02-16T01:58:30.160422571Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback: 
2026-02-16T01:58:30.160428421Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback (most recent call last):
2026-02-16T01:58:30.160432252Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T01:58:30.160435582Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	    _main_module = __import__("main")
2026-02-16T01:58:30.160439292Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	                   ^^^^^^^^^^^^^^^^^^
2026-02-16T01:58:30.160442542Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	ModuleNotFoundError: No module named 'main'
2026-02-16T01:58:30.160445432Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T01:58:30.160448672Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T01:58:30.200043Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	Warning: Container 'p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v' terminated with exit code 143.
Cause: Graceful termination (SIGTERM)
Action: Process was asked to shut down gracefully. Check logs to see why it was terminated.
2026-02-16T02:00:24.341256884Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Shutting down
2026-02-16T02:00:24.44174473Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application shutdown.
2026-02-16T02:00:29.446848651Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Waiting for active requests to complete...
2026-02-16T02:00:29.446888152Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	All active requests completed. Shutting down.
2026-02-16T02:00:29.447064576Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application shutdown complete.
2026-02-16T02:00:29.447135447Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Finished server process [7]
2026-02-16T02:00:30.192086095Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Started server process [7]
2026-02-16T02:00:30.192133276Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application startup.
