timestamp,open,high,low,close,volume
2025-08-18 11:15:00,1.16861,1.16872,1.16842,1.16845,190
2025-08-18 11:20:00,1.1684,1.16876,1.16832,1.16871,236
2025-08-18 11:25:00,1.1687,1.16881,1.16846,1.16861,228
2025-08-18 11:30:00,1.1686,1.16861,1.1681,1.16825,376
2025-08-18 11:35:00,1.16826,1.16839,1.16821,1.16832,210
2025-08-18 11:40:00,1.16831,1.16842,1.16821,1.16833,248
2025-08-18 11:45:00,1.16834,1.16835,1.16814,1.16823,318
2025-08-18 11:50:00,1.16824,1.16854,1.16824,1.16853,200
2025-08-18 11:55:00,1.16852,1.16852,1.16715,1.16747,882
2025-08-18 12:00:00,1.16763,1.16789,1.16735,1.16787,524
2025-08-18 12:05:00,1.16788,1.16788,1.16726,1.16728,390
2025-08-18 12:10:00,1.1673,1.16758,1.16716,1.16738,382
2025-08-18 12:15:00,1.16741,1.16747,1.16711,1.16724,294
2025-08-18 12:20:00,1.16728,1.16758,1.16724,1.16729,354
2025-08-18 12:25:00,1.16731,1.16749,1.16712,1.16734,388
2025-08-18 12:30:00,1.16735,1.16756,1.16725,1.16726,436
2025-08-18 12:35:00,1.16725,1.16732,1.16661,1.16702,562
2025-08-18 12:40:00,1.16701,1.16722,1.16694,1.16702,456
2025-08-18 12:45:00,1.16703,1.16719,1.16691,1.16706,414
2025-08-18 12:50:00,1.16707,1.16728,1.16691,1.16726,336
2025-08-18 12:55:00,1.16724,1.16763,1.16706,1.16763,460
2025-08-18 13:00:00,1.16764,1.16774,1.16711,1.16736,426
2025-08-18 13:05:00,1.16737,1.16738,1.16695,1.16712,376
2025-08-18 13:10:00,1.16713,1.16749,1.16712,1.16722,430
2025-08-18 13:15:00,1.1672,1.16746,1.1672,1.1673,296
2025-08-18 13:20:00,1.16729,1.16757,1.16718,1.16752,302
2025-08-18 13:25:00,1.16751,1.16762,1.1674,1.16757,314
2025-08-18 13:30:00,1.16756,1.16762,1.16708,1.1673,422
2025-08-18 13:35:00,1.16733,1.16774,1.16728,1.16745,444
2025-08-18 13:40:00,1.16743,1.16774,1.16738,1.16757,496
2025-08-18 13:45:00,1.16759,1.16759,1.16713,1.16724,484
2025-08-18 13:50:00,1.16723,1.16774,1.16723,1.16749,502
2025-08-18 13:55:00,1.16752,1.16776,1.16741,1.16776,480
2025-08-18 14:00:00,1.16775,1.1678,1.16743,1.16777,472
2025-08-18 14:05:00,1.16776,1.16844,1.16776,1.16822,634
2025-08-18 14:10:00,1.1682,1.16824,1.16762,1.16777,430
2025-08-18 14:15:00,1.16772,1.16804,1.16756,1.16797,554
2025-08-18 14:20:00,1.16798,1.16798,1.16743,1.16781,468
2025-08-18 14:25:00,1.16776,1.16812,1.16769,1.16778,562
2025-08-18 14:30:00,1.16773,1.16773,1.16697,1.16719,574
2025-08-18 14:35:00,1.16718,1.16744,1.16703,1.16738,508
2025-08-18 14:40:00,1.16739,1.16739,1.16693,1.16713,432
2025-08-18 14:45:00,1.16709,1.16709,1.16603,1.16648,674
2025-08-18 14:50:00,1.16647,1.16654,1.16613,1.16624,490
2025-08-18 14:55:00,1.16625,1.16647,1.16606,1.16639,572
2025-08-18 15:00:00,1.1664,1.16658,1.16638,1.16645,508
2025-08-18 15:05:00,1.16646,1.1667,1.16623,1.16633,434
2025-08-18 15:10:00,1.16634,1.1665,1.16607,1.16643,390
2025-08-18 15:15:00,1.16645,1.16672,1.16633,1.16658,330
2025-08-18 15:20:00,1.16664,1.16708,1.16664,1.16687,434
2025-08-18 15:25:00,1.16689,1.16695,1.16662,1.16691,400
2025-08-18 15:30:00,1.16692,1.16712,1.16673,1.167,352
2025-08-18 15:35:00,1.16694,1.16735,1.1669,1.16735,432
2025-08-18 15:40:00,1.16734,1.16745,1.16695,1.16702,352
2025-08-18 15:45:00,1.16703,1.1673,1.16676,1.16689,448
2025-08-18 15:50:00,1.1669,1.167,1.16672,1.16677,254
2025-08-18 15:55:00,1.16676,1.16693,1.16667,1.1667,408
2025-08-18 16:00:00,1.16669,1.16669,1.16625,1.16647,526
2025-08-18 16:05:00,1.16644,1.16647,1.16617,1.16623,408
2025-08-18 16:10:00,1.16622,1.1666,1.16613,1.1666,348
2025-08-18 16:15:00,1.16657,1.16668,1.16633,1.16641,206
2025-08-18 16:20:00,1.16642,1.16657,1.16628,1.16646,184
2025-08-18 16:25:00,1.16649,1.16663,1.16626,1.16654,314
2025-08-18 16:30:00,1.16656,1.16661,1.16631,1.1664,228
2025-08-18 16:35:00,1.16639,1.16672,1.16638,1.16669,208
2025-08-18 16:40:00,1.1667,1.16672,1.16617,1.16617,314
2025-08-18 16:45:00,1.16618,1.16618,1.16599,1.16605,314
2025-08-18 16:50:00,1.16601,1.16601,1.16576,1.16588,256
2025-08-18 16:55:00,1.16581,1.16595,1.16558,1.16577,320
2025-08-18 17:00:00,1.16576,1.16619,1.16576,1.16608,284
2025-08-18 17:05:00,1.16607,1.16622,1.16583,1.1659,238
2025-08-18 17:10:00,1.16591,1.16613,1.16589,1.16601,178
2025-08-18 17:15:00,1.166,1.16603,1.1657,1.1657,252
2025-08-18 17:20:00,1.16571,1.16609,1.16566,1.16609,270
2025-08-18 17:25:00,1.16608,1.16625,1.16604,1.16622,298
2025-08-18 17:30:00,1.16623,1.16664,1.16619,1.16633,298
2025-08-18 17:35:00,1.16639,1.16662,1.16638,1.16653,240
2025-08-18 17:40:00,1.16654,1.1666,1.16623,1.16628,218
2025-08-18 17:45:00,1.16626,1.16634,1.16616,1.16634,212
2025-08-18 17:50:00,1.16633,1.16641,1.1662,1.16631,162
2025-08-18 17:55:00,1.1663,1.16639,1.1662,1.16626,212
2025-08-18 18:00:00,1.16625,1.16651,1.16615,1.1665,304
2025-08-18 18:05:00,1.16649,1.16668,1.16646,1.16662,214
2025-08-18 18:10:00,1.16661,1.16664,1.16654,1.16664,158
2025-08-18 18:15:00,1.16663,1.16671,1.16649,1.16653,166
2025-08-18 18:20:00,1.16657,1.16663,1.16643,1.16663,184
2025-08-18 18:25:00,1.16664,1.16677,1.16663,1.16665,250
2025-08-18 18:30:00,1.16663,1.16667,1.16638,1.16638,194
2025-08-18 18:35:00,1.16637,1.16637,1.16597,1.16609,262
2025-08-18 18:40:00,1.16612,1.16626,1.16599,1.16599,226
2025-08-18 18:45:00,1.16595,1.1662,1.16583,1.1659,164
2025-08-18 18:50:00,1.16587,1.16595,1.16585,1.1659,184
2025-08-18 18:55:00,1.16588,1.166,1.16584,1.16599,300
2025-08-18 19:00:00,1.166,1.16629,1.16597,1.16628,234
2025-08-18 19:05:00,1.16629,1.16638,1.16621,1.1663,172
2025-08-18 19:10:00,1.16632,1.16653,1.16628,1.16653,150
2025-08-18 19:15:00,1.16652,1.16673,1.16652,1.16661,244
2025-08-18 19:20:00,1.16655,1.16673,1.16653,1.16671,142
2025-08-18 19:25:00,1.16672,1.16693,1.16667,1.16692,198
2025-08-18 19:30:00,1.16693,1.16703,1.16689,1.16689,206
2025-08-18 19:35:00,1.16688,1.16702,1.16684,1.16693,208
2025-08-18 19:40:00,1.16694,1.16702,1.16686,1.16688,202
2025-08-18 19:45:00,1.16687,1.16687,1.16668,1.16668,160
2025-08-18 19:50:00,1.16669,1.16677,1.16663,1.16671,152
2025-08-18 19:55:00,1.16669,1.16675,1.16663,1.1667,220
2025-08-18 20:00:00,1.16669,1.16693,1.16669,1.16681,232
2025-08-18 20:05:00,1.16682,1.16682,1.16664,1.16672,224
2025-08-18 20:10:00,1.16673,1.16686,1.16671,1.16671,146
2025-08-18 20:15:00,1.16672,1.16672,1.16658,1.16667,104
2025-08-18 20:20:00,1.16666,1.16666,1.16647,1.16654,162
2025-08-18 20:25:00,1.16655,1.16667,1.16654,1.16665,126
2025-08-18 20:30:00,1.16661,1.16676,1.1666,1.16674,102
2025-08-18 20:35:00,1.16672,1.16674,1.16651,1.16652,124
2025-08-18 20:40:00,1.16653,1.16654,1.16643,1.16644,86
